,l_mean,l_std,l_entropy,l_ggd1,l_ggd2,l_aggd1,l_aggd2,l_aggd3,l_aggd4,l_gamma1,l_gamma2,a_mean,a_std,a_entropy,a_ggd1,a_ggd2,a_aggd1,a_aggd2,a_aggd3,a_aggd4,a_gamma1,a_gamma2,b_mean,b_std,b_entropy,b_ggd1,b_ggd2,b_aggd1,b_aggd2,b_aggd3,b_aggd4,b_gamma1,b_gamma2,curvature_mean,curvature_std,curvature_entropy,curvature_ggd1,curvature_ggd2,curvature_aggd1,curvature_aggd2,curvature_aggd3,curvature_aggd4,curvature_gamma1,curvature_gamma2,anisotropy_mean,anisotropy_std,anisotropy_entropy,anisotropy_ggd1,anisotropy_ggd2,anisotropy_aggd1,anisotropy_aggd2,anisotropy_aggd3,anisotropy_aggd4,anisotropy_gamma1,anisotropy_gamma2,linearity_mean,linearity_std,linearity_entropy,linearity_ggd1,linearity_ggd2,linearity_aggd1,linearity_aggd2,linearity_aggd3,linearity_aggd4
both_drjohnson_input,46.43800950468435,28.622650039636763,7.410914695197885,5.400467708538505,12.25811806965482,6.408902645319251,12.147602526395723,14.288597307758007,6.65135872320506,0.07268201559782028,0.057248640805482864,7.095905046417661,1.7620000000000013,0.09252063930034637,3.8300000000000036,0.3567129649279054,0.7980114817619324,1.22309410572052,1.6118533708553429,0.045092199471750104,0.8737428784370422,0.11538153141736984,6.625244628991357,10.000000000000007,0.881328284740448,2.274000000000002,-0.5081103386384347,1.3363292217254639,0.7080560922622681,57.34513567999079,0.015236564055613975,0.5040948390960693,0.19049352407455444,7.338130697466672,10.000000000000007,0.5388869643211365,2.8590000000000027,-0.06866068966956863,1.0420995950698853,0.9588264226913452,7.002708513813559,0.07198569646590029,0.3696482181549072,0.19118139147758484,7.320178396701287,10.000000000000007,0.4161609411239624,2.9590000000000027,0.161645099224279,0.904310941696167,1.0998793840408325,3.738418761286596,0.09887822372875851,0.1262570023536682,0.11538153886795044,6.6252458256983395,1.2100000000000009,0.17103704810142517,2.274000000000002,0.50811168837086,0.7080551385879517,1.3363299369812012,1.1974028108753032,0.1054423840837826
both_playroom_input_post,42.58015513921149,23.009197605307342,7.347053906580977,10.580069972505651,13.726092370968306,6.286503148618377,28.20458555721558,20.78320166486904,6.823871070035905,0.08461790861264157,0.057468551372400305,7.183422648240926,2.9960000000000027,0.10228783836592681,3.6060000000000034,0.25518235564327435,0.8519854454598612,1.1570156725790104,2.168039029808698,0.03902969801245138,0.8518915876553178,0.11880413803358665,6.764376615618804,10.000000000000007,0.8601358044717492,2.3260000000000023,-0.4252344219784965,1.2759939363875807,0.7513339864985427,51.41721451620685,0.016568217389271434,0.5059368012019706,0.19151943565417465,7.3375692775779475,10.000000000000007,0.5409727219130898,2.8820000000000023,-0.07797370369847799,1.0479330834039957,0.9534196321270155,6.978624904988069,0.07249806488959527,0.34595478645334726,0.1855310810947145,7.294381501512666,10.000000000000007,0.39256369781385814,2.8650000000000024,0.19403103364345764,0.8853366826572059,1.1206259358168023,3.4770293638652996,0.09949722888413018,0.14810841234468208,0.11880413803358662,6.764376615618804,1.6730000000000012,0.18986949945588222,2.3260000000000023,0.42523442197849776,0.751333986498542,1.2759939363875816,1.5541729258628036,0.095297254172961
train_input,46.05549072148156,28.485930559703377,7.4946399215765345,-0.7731969754010017,7.396100464125224,6.0810450550320745,3.5325232459022082,12.469013477595597,6.512017233077033,0.08254087716341019,0.0570303276181221,7.1468043401272485,2.7760000000000025,0.10032664239406586,3.3820000000000032,0.27437068365051237,0.8409321904182434,1.1700719594955444,2.0947354824159135,0.03940396031024829,0.8561652898788452,0.1176474317908287,6.746826930826961,10.000000000000007,0.8642105460166931,2.227000000000002,-0.44631226935264057,1.292310118675232,0.7393138408660889,52.960627347289346,0.01616607092519491,0.5121385455131531,0.19140125811100006,7.338484356609069,10.000000000000007,0.5467358231544495,2.9130000000000025,-0.09164426509179059,1.056310772895813,0.9453117847442627,7.159589670359367,0.07153183070385409,0.3440268635749817,0.1838064193725586,7.266873897756859,10.000000000000007,0.39005011320114136,2.8440000000000025,0.20119023414718698,0.8813844323158264,1.125485897064209,3.5032101992603657,0.09820332150086884,0.14383463561534882,0.1176474392414093,6.746828986419047,1.5860000000000012,0.18582044541835785,2.227000000000002,0.44631299093844523,0.7393133044242859,1.2923104763031006,1.494737018933634,0.09622738288129147
edge_images_dark_input,17.751525373587416,16.05007471686298,5.9680963949347525,1.7050344947007214,5.6224375574399135,5.4702460224820975,-8.729764142760748,10.99273580875322,5.696895518371958,0.0599987618625164,0.0555734857916832,5.693387391883852,1.1760000000000008,0.08175257593393326,5.172000000000005,0.47858267550647265,0.7417823076248169,1.3052984476089478,1.1674065887635976,0.051394917707022446,0.9002552032470703,0.10552019625902176,5.577986836269856,10.000000000000007,0.9064086675643921,2.426000000000002,-0.591378644154854,1.397229552268982,0.6704002022743225,72.90089827267002,0.012349027038713668,0.588402509689331,0.21043212711811066,5.811631144630246,10.000000000000007,0.624844491481781,3.204000000000003,-0.1691761413713538,1.1027889251708984,0.8991796374320984,7.830649838417457,0.07514095973074643,0.31185266375541687,0.19774751365184784,5.847699676109529,4.446000000000004,0.36918237805366516,2.7420000000000027,0.3635399913420664,0.7895562648773193,1.2318429946899414,2.4908619335332247,0.12519870155705282,0.09974480420351028,0.10552020370960236,5.577986836269856,0.8980000000000006,0.1451423466205597,2.426000000000002,0.591378547161209,0.6704002022743225,1.3972294330596924,0.8949157365646556,0.11145720828840458
edge_truck_input_post,51.69040664777747,30.843332491328642,7.42941835302139,-2.084025115561597,7.848657815706048,5.799515930621474,-8.49711550024869,12.752391190339367,6.370722209747672,0.0920335049346183,0.05843956441739132,7.2205479824512615,4.378000000000004,0.10901986287980225,3.562000000000003,0.22362225274586256,0.8697560641815968,1.1372375045100571,2.48016343006009,0.03710783887027496,0.8365634572855685,0.12359726824683147,6.814969557316695,10.000000000000007,0.845644500541334,2.3980000000000024,-0.39889010239463707,1.2576288488610385,0.7668618924473816,45.81232702385021,0.01826066283098974,0.4938711776512931,0.1876533816736176,7.33640585437373,10.000000000000007,0.5283203042930216,2.9160000000000026,-0.06847249786728764,1.0419305619252959,0.9590031280721688,6.926548654486297,0.0713011923090174,0.3426922796342754,0.18064429984281255,7.271189175997315,10.000000000000007,0.38738893571800725,2.7810000000000024,0.1922774270150983,0.8860157672367769,1.1196916424697279,3.598839125872713,0.0952230059884027,0.16343654271443145,0.12359726824683145,6.814969557316695,1.9940000000000015,0.20490902060344984,2.3980000000000024,0.3988901023946382,0.7668618924473809,1.2576288488610392,1.7485695294761736,0.0934687125443578
exposure_truck_input,37.80584547857865,25.424043785180157,7.3651866982324385,-2.80841427312869,9.589411261686989,6.155934289258519,-5.9492325430706545,17.697144825910414,6.717349317877313,0.101091668009758,0.058521561324596405,7.25883761003287,10.000000000000007,0.1168086901307106,3.257000000000003,0.16284742348128786,0.9037904739379883,1.0995842218399048,2.9840279476439378,0.033877586688924675,0.8193530440330505,0.12680703401565552,6.887230674027139,10.000000000000007,0.8291075825691223,2.412000000000002,-0.34684361069518954,1.221892237663269,0.7953847646713257,41.75028193502749,0.019625089095191648,0.5024322867393494,0.1932239681482315,7.35135000077572,10.000000000000007,0.5383059978485107,2.8530000000000024,-0.05459915910150889,1.033422589302063,0.9671934247016907,6.761407963624379,0.07430883193965057,0.31692081689834595,0.17482678592205048,7.235428932330203,10.000000000000007,0.36194324493408203,2.7530000000000023,0.2200088840025526,0.8700429201126099,1.1376261711120605,3.2861666562112646,0.09644088394829807,0.18064692616462708,0.12680703401565552,6.887228519748074,2.5990000000000024,0.2207106500864029,2.412000000000002,0.3468440469393908,0.7953845858573914,1.2218925952911377,2.029449851111295,0.08901275327562566
both_bin_new_medium_input,37.09254462803275,26.831075587202868,7.324816795084881,-3.12154023933109,12.942943527792949,6.6180554502264854,-3.493150497525318,14.616447417404492,6.626973315952061,0.09852300584316254,0.05308064818382263,7.133865962781265,10.000000000000007,0.11191108077764511,2.9880000000000027,0.2202097653911819,0.870690107345581,1.136934518814087,3.445407999445038,0.028595453358505992,0.8265129327774048,0.11316452920436859,6.813744310188143,10.000000000000007,0.8342233896255493,2.272000000000002,-0.3878892639386515,1.252131462097168,0.7724694013595581,53.34780157684236,0.015492914711049731,0.4939981997013092,0.18374031782150269,7.266358396462778,10.000000000000007,0.5270596146583557,2.9370000000000025,-0.07514549132466211,1.046112298965454,0.9551491737365723,7.229024144271534,0.06833538755805722,0.3325146734714508,0.1751796007156372,7.182599935693251,10.000000000000007,0.37583407759666443,2.9080000000000026,0.17675137836054153,0.8951244354248047,1.1092307567596436,3.6032335213309494,0.0922823020595419,0.17348706722259521,0.11316452920436859,6.813841999985298,3.689000000000003,0.2071300446987152,2.272000000000002,0.3878892639386515,0.7724694013595581,1.252131462097168,2.3504522933549765,0.07381008037140971
exposure_playroom_old_input,38.15275447988641,20.291974866259906,7.331400253957936,10.595249999118813,13.54070853438592,6.567440170302027,26.335838472096402,19.73670520683683,7.027237035464119,0.05519890412688255,0.0498560294508934,6.864206601283298,1.2420000000000009,0.07438061386346817,2.7430000000000025,0.4833518847598433,0.7262440919876099,1.3142788410186768,1.225849398770663,0.04502911050736726,0.909108579158783,0.09540153294801712,6.434233768528461,10.000000000000007,0.9141004681587219,1.7300000000000013,-0.618902298289301,1.431540608406067,0.6417679786682129,90.80973455568255,0.010011135750547216,0.5720048546791077,0.20603443682193756,7.357274990629069,10.000000000000007,0.6079791188240051,3.062000000000003,-0.1284468607972844,1.0789905786514282,0.9239481687545776,7.707816278589746,0.0742110123729593,0.3371036648750305,0.19558647274971008,7.288028763757058,10.000000000000007,0.3897331655025482,3.086000000000003,0.22173500079154793,0.8703922629356384,1.1379005908966064,2.9707140542769963,0.11347563993278623,0.09089147299528122,0.09540153294801712,6.434240728938061,0.9100000000000006,0.13176672160625458,1.7300000000000013,0.6189015042371216,0.6417685151100159,1.4315401315689087,0.9077101262527698,0.10013270880116752
train_old_input,46.732683825427365,27.775175938975778,7.534374778037709,-1.0799750727832704,7.430511251439295,6.158119271551442,3.7297121257646637,12.238720456540095,6.53050581582433,0.06616675108671188,0.05289428308606148,7.049480886646094,1.6890000000000012,0.08471021056175232,3.2370000000000028,0.40055248080250355,0.7728954553604126,1.2546675205230713,1.5648266387145213,0.042283756313578294,0.8880587816238403,0.10427401959896088,6.580506237197525,10.000000000000007,0.8941596746444702,1.9870000000000017,-0.5436631707052947,1.3671571016311646,0.6852689385414124,72.53292452232927,0.012243525306308156,0.5336798429489136,0.19448871910572052,7.3473991228399935,10.000000000000007,0.5680138468742371,2.8980000000000024,-0.10907737314298085,1.067216396331787,0.9350540041923523,7.529683624289248,0.07087678987132667,0.35437896847724915,0.18835283815860748,7.2988911801367315,10.000000000000007,0.40132391452789307,2.9010000000000025,0.1888688463148402,0.888448178768158,1.117272138595581,3.5399368549457364,0.10010883608915631,0.11194118112325668,0.10427401214838028,6.580506930829879,1.1600000000000008,0.15298299491405487,1.9870000000000017,0.543663645927654,0.6852687001228333,1.3671574592590332,1.1524752745790465,0.09713110096925473
edge_bin_new_dark_old_input_post,18.106191463502608,17.7430661500137,6.1888671809935305,-0.3204311316404403,4.878336487448559,6.0719148730824575,-8.09650797679091,8.995305658904709,6.280233172873839,0.04578519234946741,0.04799723803917043,6.041569840556871,0.9130000000000007,0.06631715809834883,1.7300000000000013,0.6235404486272681,0.6379906627117421,1.433681971697776,0.9107618623174187,0.050271310475130934,0.9235090743152937,0.09299895517361068,5.710050787168534,10.000000000000007,0.9281756879078064,1.193000000000001,-0.7214872210987467,1.5449859111623558,0.5647971337903103,98.69915621403074,0.009356808201203352,0.5409248027720139,0.1979403860064048,6.402945789841516,10.000000000000007,0.575973192541894,2.6470000000000025,-0.04944920051718531,1.0295852529747238,0.9692581435631731,7.474673196301371,0.07236768599323848,0.38258427154327973,0.19422110412623467,6.4066067227110794,10.000000000000007,0.4290209108475712,3.027000000000003,0.13002982654084225,0.9217141645142033,1.0787880592260448,3.8837264282530164,0.09850958315706451,0.07649092568470638,0.09299895517361068,5.710050787168534,0.7030000000000005,0.12038255269158538,1.193000000000001,0.7214872210987455,0.5647971337903113,1.5449859111623552,0.6770970771672634,0.1129689202096656
